Strain	Strain_2	Condition	Line	Generation	Replicate	Temperature	Highlight	Species	Rate	OD	Rate_fitness	OD_fitness	Line.1	Strain_3
SE2	2	Ancestral	SE2_Ancestral	0	3	Treatment	SE-2	SE	0.028	0.604	0.003	0.058	Ancestral	2_Ancestral
SE1-1	1	Control	SE1-1_Control	350	1	Treatment	SE-1	SE	0.042	0.637	-0.017	-0.115	1	1_Control
SE1-1	1	Control	SE1-1_Control	350	2	Treatment	SE-1	SE	0.05	0.737	-0.01	-0.015	1	1_Control
SE1-1	1	Control	SE1-1_Control	350	3	Treatment	SE-1	SE	0.057	0.816	-0.002	0.064	1	1_Control
SE1-2	1	Control	SE1-2_Control	350	1	Treatment	SE-1	SE	0.044	0.627	-0.015	-0.125	2	1_Control
SE1-2	1	Control	SE1-2_Control	350	2	Treatment	SE-1	SE	0.053	0.763	-0.006	0.011	2	1_Control
SE1-2	1	Control	SE1-2_Control	350	3	Treatment	SE-1	SE	0.055	0.757	-0.004	0.005	2	1_Control
SE1-3	1	Control	SE1-3_Control	350	1	Treatment	SE-1	SE	0.06	0.781	0.001	0.029	3	1_Control
SE1-3	1	Control	SE1-3_Control	350	2	Treatment	SE-1	SE	0.057	0.741	-0.003	-0.012	3	1_Control
SE1-3	1	Control	SE1-3_Control	350	3	Treatment	SE-1	SE	0.062	0.835	0.003	0.083	3	1_Control
SE1-4	1	Control	SE1-4_Control	350	1	Treatment	SE-1	SE	0.062	0.858	0.003	0.106	4	1_Control
SE1-4	1	Control	SE1-4_Control	350	2	Treatment	SE-1	SE	0.054	0.714	-0.006	-0.038	4	1_Control
SE1-4	1	Control	SE1-4_Control	350	3	Treatment	SE-1	SE	0.068	0.95	0.008	0.197	4	1_Control
SE2-1	2	Control	SE2-1_Control	250	1	Treatment	SE-2	SE	0	0.005	-0.025	-0.54	1	2_Control
SE2-1	2	Control	SE2-1_Control	250	2	Treatment	SE-2	SE	0	0	-0.025	-0.545	1	2_Control
SE2-1	2	Control	SE2-1_Control	250	3	Treatment	SE-2	SE	0	0	-0.025	-0.545	1	2_Control
SE2-2	2	Control	SE2-2_Control	250	1	Treatment	SE-2	SE	0	0.007	-0.025	-0.538	2	2_Control
SE2-2	2	Control	SE2-2_Control	250	2	Treatment	SE-2	SE	0	0.005	-0.025	-0.541	2	2_Control
SE2-2	2	Control	SE2-2_Control	250	3	Treatment	SE-2	SE	0	0.004	-0.025	-0.541	2	2_Control
SE2-3	2	Control	SE2-3_Control	250	1	Treatment	SE-2	SE	0	0.009	-0.025	-0.537	3	2_Control
SE2-3	2	Control	SE2-3_Control	250	2	Treatment	SE-2	SE	0	0.004	-0.025	-0.541	3	2_Control
SE2-3	2	Control	SE2-3_Control	250	3	Treatment	SE-2	SE	0	0.009	-0.025	-0.536	3	2_Control
SE2-4	2	Control	SE2-4_Control	250	1	Treatment	SE-2	SE	0	0.044	-0.024	-0.502	4	2_Control
SE2-4	2	Control	SE2-4_Control	250	2	Treatment	SE-2	SE	0	0.04	-0.025	-0.506	4	2_Control
SE2-4	2	Control	SE2-4_Control	250	3	Treatment	SE-2	SE	0.001	0.128	-0.024	-0.417	4	2_Control
SE1-1	1	Treatment	SE1-1_Treatment	350	1	Treatment	SE-1	SE	0.123	1.105	0.064	0.353	1	1_Treatment
SE1-1	1	Treatment	SE1-1_Treatment	350	2	Treatment	SE-1	SE	0.114	1.035	0.055	0.283	1	1_Treatment
SE1-1	1	Treatment	SE1-1_Treatment	350	3	Treatment	SE-1	SE	0.122	1.182	0.063	0.43	1	1_Treatment
SE1-2	1	Treatment	SE1-2_Treatment	350	1	Treatment	SE-1	SE	0.096	0.986	0.037	0.234	2	1_Treatment
SE1-2	1	Treatment	SE1-2_Treatment	350	2	Treatment	SE-1	SE	0.099	1.035	0.039	0.282	2	1_Treatment
SE1-2	1	Treatment	SE1-2_Treatment	350	3	Treatment	SE-1	SE	0.102	1.028	0.043	0.276	2	1_Treatment
SE1-3	1	Treatment	SE1-3_Treatment	350	1	Treatment	SE-1	SE	0.098	0.991	0.039	0.239	3	1_Treatment
SE1-3	1	Treatment	SE1-3_Treatment	350	2	Treatment	SE-1	SE	0.09	0.848	0.03	0.095	3	1_Treatment
SE1-3	1	Treatment	SE1-3_Treatment	350	3	Treatment	SE-1	SE	0.081	0.744	0.022	-0.009	3	1_Treatment
SE1-4	1	Treatment	SE1-4_Treatment	350	1	Treatment	SE-1	SE	0.098	0.981	0.039	0.229	4	1_Treatment
SE1-4	1	Treatment	SE1-4_Treatment	350	2	Treatment	SE-1	SE	0.089	0.837	0.03	0.085	4	1_Treatment
SE1-4	1	Treatment	SE1-4_Treatment	350	3	Treatment	SE-1	SE	0.104	1.074	0.045	0.321	4	1_Treatment
SE2-1	2	Treatment	SE2-1_Treatment	250	1	Treatment	SE-2	SE	0.064	0.999	0.039	0.454	1	2_Treatment
SE2-1	2	Treatment	SE2-1_Treatment	250	2	Treatment	SE-2	SE	0.059	0.906	0.034	0.361	1	2_Treatment
SE2-1	2	Treatment	SE2-1_Treatment	250	3	Treatment	SE-2	SE	0.064	1.011	0.039	0.466	1	2_Treatment
SE2-2	2	Treatment	SE2-2_Treatment	250	1	Treatment	SE-2	SE	0.066	1.061	0.041	0.516	2	2_Treatment
SE2-2	2	Treatment	SE2-2_Treatment	250	2	Treatment	SE-2	SE	0.067	1.083	0.042	0.538	2	2_Treatment
SE2-2	2	Treatment	SE2-2_Treatment	250	3	Treatment	SE-2	SE	0.058	0.765	0.033	0.22	2	2_Treatment
SE2-3	2	Treatment	SE2-3_Treatment	250	1	Treatment	SE-2	SE	0.106	1.109	0.081	0.564	3	2_Treatment
SE2-3	2	Treatment	SE2-3_Treatment	250	2	Treatment	SE-2	SE	0.103	1.086	0.078	0.541	3	2_Treatment
SE2-3	2	Treatment	SE2-3_Treatment	250	3	Treatment	SE-2	SE	0.09	0.904	0.065	0.358	3	2_Treatment
SE2-4	2	Treatment	SE2-4_Treatment	250	1	Treatment	SE-2	SE	0.06	0.841	0.035	0.296	4	2_Treatment
SE2-4	2	Treatment	SE2-4_Treatment	250	2	Treatment	SE-2	SE	0.055	0.763	0.03	0.218	4	2_Treatment
SE2-4	2	Treatment	SE2-4_Treatment	250	3	Treatment	SE-2	SE	0.065	1.185	0.04	0.64	4	2_Treatment
SK1	1	Ancestral	SK1_Ancestral	0	1	Control	SK-1	SK	0.136	1.234	0.01	0.112	Ancestral	1_Ancestral
SK1	1	Ancestral	SK1_Ancestral	0	2	Control	SK-1	SK	0.119	1.024	-0.007	-0.098	Ancestral	1_Ancestral
SK1	1	Ancestral	SK1_Ancestral	0	3	Control	SK-1	SK	0.124	1.108	-0.002	-0.014	Ancestral	1_Ancestral
SK2	2	Ancestral	SK2_Ancestral	0	1	Control	SK-2	SK	0.12	1.102	-0.004	-0.026	Ancestral	2_Ancestral
SK2	2	Ancestral	SK2_Ancestral	0	2	Control	SK-2	SK	0.129	1.175	0.005	0.048	Ancestral	2_Ancestral
SK2	2	Ancestral	SK2_Ancestral	0	3	Control	SK-2	SK	0.122	1.105	-0.002	-0.022	Ancestral	2_Ancestral
SK1-1	1	Control	SK1-1_Control	200	1	Control	SK-1	SK	0.118	1.296	-0.008	0.174	1	1_Control
SK1-1	1	Control	SK1-1_Control	200	2	Control	SK-1	SK	0.115	1.143	-0.011	0.021	1	1_Control
SK1-1	1	Control	SK1-1_Control	200	3	Control	SK-1	SK	0.118	1.223	-0.008	0.101	1	1_Control
SK1-2	1	Control	SK1-2_Control	200	1	Control	SK-1	SK	0.121	1.11	-0.005	-0.012	2	1_Control
SK1-2	1	Control	SK1-2_Control	200	2	Control	SK-1	SK	0.128	1.279	0.002	0.157	2	1_Control
SK1-2	1	Control	SK1-2_Control	200	3	Control	SK-1	SK	0.121	1.179	-0.005	0.057	2	1_Control
SK1-3	1	Control	SK1-3_Control	200	1	Control	SK-1	SK	0.123	1.164	-0.003	0.042	3	1_Control
SK1-3	1	Control	SK1-3_Control	200	2	Control	SK-1	SK	0.124	1.146	-0.002	0.024	3	1_Control
SK1-3	1	Control	SK1-3_Control	200	3	Control	SK-1	SK	0.119	1.124	-0.007	0.002	3	1_Control
SK1-4	1	Control	SK1-4_Control	200	1	Control	SK-1	SK	0.117	1.013	-0.009	-0.109	4	1_Control
SK1-4	1	Control	SK1-4_Control	200	2	Control	SK-1	SK	0.127	1.166	0.001	0.044	4	1_Control
SK1-4	1	Control	SK1-4_Control	200	3	Control	SK-1	SK	0.122	1.086	-0.004	-0.035	4	1_Control
SK2-1	2	Control	SK2-1_Control	250	1	Control	SK-2	SK	0.134	1.159	0.01	0.032	1	2_Control
SK2-1	2	Control	SK2-1_Control	250	2	Control	SK-2	SK	0.125	1.102	0.001	-0.025	1	2_Control
SK2-1	2	Control	SK2-1_Control	250	3	Control	SK-2	SK	0.127	1.132	0.003	0.005	1	2_Control
SK2-2	2	Control	SK2-2_Control	250	1	Control	SK-2	SK	0.12	1.038	-0.004	-0.09	2	2_Control
SK2-2	2	Control	SK2-2_Control	250	2	Control	SK-2	SK	0.123	1.136	-0.001	0.009	2	2_Control
SK2-2	2	Control	SK2-2_Control	250	3	Control	SK-2	SK	0.121	1.099	-0.003	-0.029	2	2_Control
SK2-3	2	Control	SK2-3_Control	250	1	Control	SK-2	SK	0.12	1.106	-0.004	-0.021	3	2_Control
SK2-3	2	Control	SK2-3_Control	250	2	Control	SK-2	SK	0.123	1.112	-0.001	-0.015	3	2_Control
SK2-3	2	Control	SK2-3_Control	250	3	Control	SK-2	SK	0.115	1.02	-0.009	-0.108	3	2_Control
SK2-4	2	Control	SK2-4_Control	250	1	Control	SK-2	SK	0.118	1.03	-0.006	-0.097	4	2_Control
SK2-4	2	Control	SK2-4_Control	250	2	Control	SK-2	SK	0.122	1.072	-0.002	-0.055	4	2_Control
SK2-4	2	Control	SK2-4_Control	250	3	Control	SK-2	SK	0.124	1.094	0	-0.033	4	2_Control
SK1-1	1	Treatment	SK1-1_Treatment	200	1	Control	SK-1	SK	0.137	1.381	0.011	0.259	1	1_Treatment
SK1-1	1	Treatment	SK1-1_Treatment	200	2	Control	SK-1	SK	0.129	1.263	0.003	0.141	1	1_Treatment
SK1-1	1	Treatment	SK1-1_Treatment	200	3	Control	SK-1	SK	0.13	1.292	0.004	0.17	1	1_Treatment
SK1-2	1	Treatment	SK1-2_Treatment	200	1	Control	SK-1	SK	0.124	1.239	-0.002	0.117	2	1_Treatment
SK1-2	1	Treatment	SK1-2_Treatment	200	2	Control	SK-1	SK	0.128	1.289	0.002	0.167	2	1_Treatment
SK1-2	1	Treatment	SK1-2_Treatment	200	3	Control	SK-1	SK	0.119	1.234	-0.007	0.112	2	1_Treatment
SK1-3	1	Treatment	SK1-3_Treatment	200	1	Control	SK-1	SK	0.114	1.287	-0.012	0.165	3	1_Treatment
SK1-3	1	Treatment	SK1-3_Treatment	200	2	Control	SK-1	SK	0.111	1.325	-0.015	0.204	3	1_Treatment
SK1-3	1	Treatment	SK1-3_Treatment	200	3	Control	SK-1	SK	0.124	1.248	-0.002	0.126	3	1_Treatment
SK1-4	1	Treatment	SK1-4_Treatment	200	1	Control	SK-1	SK	0.12	1.024	-0.006	-0.098	4	1_Treatment
SK1-4	1	Treatment	SK1-4_Treatment	200	2	Control	SK-1	SK	0.13	1.144	0.004	0.022	4	1_Treatment
SK1-4	1	Treatment	SK1-4_Treatment	200	3	Control	SK-1	SK	0.13	1.239	0.004	0.117	4	1_Treatment
SK2-1	2	Treatment	SK2-1_Treatment	250	1	Control	SK-2	SK	0.095	0.99	-0.028	-0.137	1	2_Treatment
SK2-1	2	Treatment	SK2-1_Treatment	250	2	Control	SK-2	SK	0.086	0.855	-0.037	-0.272	1	2_Treatment
SK2-1	2	Treatment	SK2-1_Treatment	250	3	Control	SK-2	SK	0.09	0.795	-0.034	-0.332	1	2_Treatment
SK2-2	2	Treatment	SK2-2_Treatment	250	1	Control	SK-2	SK	0.098	1.088	-0.026	-0.039	2	2_Treatment
SK2-2	2	Treatment	SK2-2_Treatment	250	2	Control	SK-2	SK	0.101	1.125	-0.023	-0.002	2	2_Treatment
SK2-2	2	Treatment	SK2-2_Treatment	250	3	Control	SK-2	SK	0.102	1.146	-0.022	0.019	2	2_Treatment
SK2-3	2	Treatment	SK2-3_Treatment	250	1	Control	SK-2	SK	0.079	0.59	-0.045	-0.538	3	2_Treatment
SK2-3	2	Treatment	SK2-3_Treatment	250	2	Control	SK-2	SK	0.093	1.026	-0.031	-0.101	3	2_Treatment
SK2-3	2	Treatment	SK2-3_Treatment	250	3	Control	SK-2	SK	0.068	0.506	-0.056	-0.622	3	2_Treatment
SK2-4	2	Treatment	SK2-4_Treatment	250	1	Control	SK-2	SK	0.085	0.67	-0.038	-0.457	4	2_Treatment
SK2-4	2	Treatment	SK2-4_Treatment	250	2	Control	SK-2	SK	0.089	0.669	-0.035	-0.458	4	2_Treatment
SK2-4	2	Treatment	SK2-4_Treatment	250	3	Control	SK-2	SK	0.092	0.809	-0.031	-0.318	4	2_Treatment
SK1	1	Ancestral	SK1_Ancestral	0	1	Treatment	SK-1	SK	0.078	1.185	0.001	0.061	Ancestral	1_Ancestral
SK1	1	Ancestral	SK1_Ancestral	0	2	Treatment	SK-1	SK	0.075	1.095	-0.002	-0.029	Ancestral	1_Ancestral
SK1	1	Ancestral	SK1_Ancestral	0	3	Treatment	SK-1	SK	0.078	1.091	0.001	-0.032	Ancestral	1_Ancestral
SK2	2	Ancestral	SK2_Ancestral	0	1	Treatment	SK-2	SK	0.004	0.004	-0.005	-0.004	Ancestral	2_Ancestral
SK2	2	Ancestral	SK2_Ancestral	0	2	Treatment	SK-2	SK	0.015	0.011	0.005	0.003	Ancestral	2_Ancestral
SK2	2	Ancestral	SK2_Ancestral	0	3	Treatment	SK-2	SK	0.009	0.009	0	0.001	Ancestral	2_Ancestral
SK1-1	1	Control	SK1-1_Control	200	2	Treatment	SK-1	SK	0.072	1.087	-0.005	-0.036	1	1_Control
SK1-1	1	Control	SK1-1_Control	200	3	Treatment	SK-1	SK	0.078	1.082	0.001	-0.042	1	1_Control
SK1-2	1	Control	SK1-2_Control	200	1	Treatment	SK-1	SK	0.089	1.231	0.012	0.107	2	1_Control
SK1-2	1	Control	SK1-2_Control	200	2	Treatment	SK-1	SK	0.089	1.238	0.012	0.114	2	1_Control
SK1-2	1	Control	SK1-2_Control	200	3	Treatment	SK-1	SK	0.092	1.131	0.015	0.008	2	1_Control
SK1-3	1	Control	SK1-3_Control	200	1	Treatment	SK-1	SK	0.094	1.199	0.017	0.075	3	1_Control
SK1-3	1	Control	SK1-3_Control	200	2	Treatment	SK-1	SK	0.094	1.324	0.017	0.201	3	1_Control
SK1-4	1	Control	SK1-4_Control	200	1	Treatment	SK-1	SK	0.069	0.839	-0.008	-0.285	4	1_Control
SK1-4	1	Control	SK1-4_Control	200	2	Treatment	SK-1	SK	0.078	0.978	0.001	-0.146	4	1_Control
SK1-4	1	Control	SK1-4_Control	200	3	Treatment	SK-1	SK	0.075	0.977	-0.002	-0.147	4	1_Control
SK2-1	2	Control	SK2-1_Control	250	1	Treatment	SK-2	SK	0	0.001	-0.009	-0.006	1	2_Control
SK2-1	2	Control	SK2-1_Control	250	2	Treatment	SK-2	SK	0	0	-0.009	-0.008	1	2_Control
SK2-1	2	Control	SK2-1_Control	250	3	Treatment	SK-2	SK	0	0	-0.009	-0.008	1	2_Control
SK2-2	2	Control	SK2-2_Control	250	1	Treatment	SK-2	SK	0	0	-0.009	-0.008	2	2_Control
SK2-2	2	Control	SK2-2_Control	250	2	Treatment	SK-2	SK	0	0.003	-0.009	-0.005	2	2_Control
SK2-2	2	Control	SK2-2_Control	250	3	Treatment	SK-2	SK	0	0	-0.009	-0.008	2	2_Control
SK2-3	2	Control	SK2-3_Control	250	1	Treatment	SK-2	SK	0	0	-0.009	-0.008	3	2_Control
SK2-3	2	Control	SK2-3_Control	250	2	Treatment	SK-2	SK	0	0	-0.009	-0.008	3	2_Control
SK2-3	2	Control	SK2-3_Control	250	3	Treatment	SK-2	SK	0	0.001	-0.009	-0.007	3	2_Control
SK2-4	2	Control	SK2-4_Control	250	1	Treatment	SK-2	SK	0	0	-0.009	-0.008	4	2_Control
SK2-4	2	Control	SK2-4_Control	250	2	Treatment	SK-2	SK	0	0.003	-0.009	-0.005	4	2_Control
SK2-4	2	Control	SK2-4_Control	250	3	Treatment	SK-2	SK	0	0.004	-0.009	-0.004	4	2_Control
SK1-1	1	Treatment	SK1-1_Treatment	200	1	Treatment	SK-1	SK	0.082	1.172	0.005	0.048	1	1_Treatment
SK1-1	1	Treatment	SK1-1_Treatment	200	2	Treatment	SK-1	SK	0.089	1.19	0.012	0.066	1	1_Treatment
SK1-2	1	Treatment	SK1-2_Treatment	200	1	Treatment	SK-1	SK	0.086	1.162	0.009	0.038	2	1_Treatment
SK1-2	1	Treatment	SK1-2_Treatment	200	2	Treatment	SK-1	SK	0.078	1.005	0.001	-0.119	2	1_Treatment
SK1-2	1	Treatment	SK1-2_Treatment	200	3	Treatment	SK-1	SK	0.085	1.034	0.008	-0.09	2	1_Treatment
SK1-3	1	Treatment	SK1-3_Treatment	200	1	Treatment	SK-1	SK	0.091	1.082	0.014	-0.042	3	1_Treatment
SK1-3	1	Treatment	SK1-3_Treatment	200	2	Treatment	SK-1	SK	0.095	1.333	0.018	0.209	3	1_Treatment
SK1-4	1	Treatment	SK1-4_Treatment	200	2	Treatment	SK-1	SK	0.088	1.244	0.011	0.12	4	1_Treatment
SK1-4	1	Treatment	SK1-4_Treatment	200	3	Treatment	SK-1	SK	0.081	1.136	0.004	0.012	4	1_Treatment
SK2-1	2	Treatment	SK2-1_Treatment	250	1	Treatment	SK-2	SK	0.042	0.787	-0.035	-0.336	1	2_Treatment
SK2-1	2	Treatment	SK2-1_Treatment	250	2	Treatment	SK-2	SK	0.048	0.85	0.039	0.842	1	2_Treatment
SK2-1	2	Treatment	SK2-1_Treatment	250	3	Treatment	SK-2	SK	0.053	0.916	0.044	0.908	1	2_Treatment
SK2-2	2	Treatment	SK2-2_Treatment	250	1	Treatment	SK-2	SK	0.064	0.91	0.055	0.902	2	2_Treatment
SK2-2	2	Treatment	SK2-2_Treatment	250	2	Treatment	SK-2	SK	0.064	0.986	0.054	0.978	2	2_Treatment
SK2-2	2	Treatment	SK2-2_Treatment	250	3	Treatment	SK-2	SK	0.067	0.97	0.058	0.963	2	2_Treatment
SK2-3	2	Treatment	SK2-3_Treatment	250	1	Treatment	SK-2	SK	0.064	1.019	0.054	1.012	3	2_Treatment
SK2-3	2	Treatment	SK2-3_Treatment	250	2	Treatment	SK-2	SK	0.06	0.995	0.051	0.988	3	2_Treatment
SK2-3	2	Treatment	SK2-3_Treatment	250	3	Treatment	SK-2	SK	0.056	0.901	0.047	0.893	3	2_Treatment
SK2-4	2	Treatment	SK2-4_Treatment	250	1	Treatment	SK-2	SK	0.059	0.918	0.05	0.91	4	2_Treatment
SK2-4	2	Treatment	SK2-4_Treatment	250	2	Treatment	SK-2	SK	0.052	0.785	0.043	0.778	4	2_Treatment
SK2-4	2	Treatment	SK2-4_Treatment	250	3	Treatment	SK-2	SK	0.055	0.889	0.046	0.882	4	2_Treatment
SM1	1	Ancestral	SM1_Ancestral	0	1	Control	SM-1	SM	0.143	1.23	0	0.001	Ancestral	1_Ancestral
SM1	1	Ancestral	SM1_Ancestral	0	2	Control	SM-1	SM	0.143	1.205	0	-0.024	Ancestral	1_Ancestral
SM1	1	Ancestral	SM1_Ancestral	0	3	Control	SM-1	SM	0.143	1.251	0	0.022	Ancestral	1_Ancestral
SM1-1	1	Control	SM1-1_Control	350	1	Control	SM-1	SM	0.161	1.321	0.018	0.093	1	1_Control
SM1-1	1	Control	SM1-1_Control	350	2	Control	SM-1	SM	0.15	1.231	0.007	0.003	1	1_Control
SM1-1	1	Control	SM1-1_Control	350	3	Control	SM-1	SM	0.149	1.204	0.006	-0.025	1	1_Control
SM1-2	1	Control	SM1-2_Control	350	1	Control	SM-1	SM	0.148	1.199	0.005	-0.03	2	1_Control
SM1-2	1	Control	SM1-2_Control	350	2	Control	SM-1	SM	0.145	1.236	0.002	0.007	2	1_Control
SM1-2	1	Control	SM1-2_Control	350	3	Control	SM-1	SM	0.146	1.182	0.003	-0.047	2	1_Control
SM1-3	1	Control	SM1-3_Control	350	1	Control	SM-1	SM	0.145	1.245	0.002	0.016	3	1_Control
SM1-3	1	Control	SM1-3_Control	350	2	Control	SM-1	SM	0.148	1.237	0.005	0.008	3	1_Control
SM1-3	1	Control	SM1-3_Control	350	3	Control	SM-1	SM	0.145	1.236	0.002	0.007	3	1_Control
SM1-4	1	Control	SM1-4_Control	350	1	Control	SM-1	SM	0.146	1.225	0.003	-0.004	4	1_Control
SM1-4	1	Control	SM1-4_Control	350	2	Control	SM-1	SM	0.147	1.287	0.004	0.059	4	1_Control
SM1-4	1	Control	SM1-4_Control	350	3	Control	SM-1	SM	0.148	1.188	0.005	-0.041	4	1_Control
SM1-1	1	Treatment	SM1-1_Treatment	350	1	Control	SM-1	SM	0.13	1.316	-0.013	0.087	1	1_Treatment
SM1-1	1	Treatment	SM1-1_Treatment	350	2	Control	SM-1	SM	0.125	1.271	-0.018	0.042	1	1_Treatment
SM1-1	1	Treatment	SM1-1_Treatment	350	3	Control	SM-1	SM	0.132	1.259	-0.011	0.031	1	1_Treatment
SM1-2	1	Treatment	SM1-2_Treatment	350	1	Control	SM-1	SM	0.118	1.214	-0.025	-0.015	2	1_Treatment
SM1-2	1	Treatment	SM1-2_Treatment	350	2	Control	SM-1	SM	0.108	1.255	-0.035	0.027	2	1_Treatment
SM1-2	1	Treatment	SM1-2_Treatment	350	3	Control	SM-1	SM	0.116	1.254	-0.027	0.026	2	1_Treatment
SM1-3	1	Treatment	SM1-3_Treatment	350	1	Control	SM-1	SM	0.125	1.286	-0.018	0.057	3	1_Treatment
SM1-3	1	Treatment	SM1-3_Treatment	350	2	Control	SM-1	SM	0.12	1.293	-0.023	0.064	3	1_Treatment
SM1-3	1	Treatment	SM1-3_Treatment	350	3	Control	SM-1	SM	0.117	1.257	-0.026	0.029	3	1_Treatment
SM1-4	1	Treatment	SM1-4_Treatment	350	1	Control	SM-1	SM	0.112	1.255	-0.031	0.027	4	1_Treatment
SM1-4	1	Treatment	SM1-4_Treatment	350	2	Control	SM-1	SM	0.114	1.285	-0.029	0.056	4	1_Treatment
SM1-4	1	Treatment	SM1-4_Treatment	350	3	Control	SM-1	SM	0.114	1.254	-0.029	0.025	4	1_Treatment
SM1	1	Ancestral	SM1_Ancestral	0	1	Treatment	SM-1	SM	0.111	0.896	0.001	0.013	Ancestral	1_Ancestral
SM1	1	Ancestral	SM1_Ancestral	0	2	Treatment	SM-1	SM	0.103	0.815	-0.007	-0.068	Ancestral	1_Ancestral
SM1	1	Ancestral	SM1_Ancestral	0	3	Treatment	SM-1	SM	0.116	0.938	0.006	0.055	Ancestral	1_Ancestral
SM1-1	1	Control	SM1-1_Control	350	1	Treatment	SM-1	SM	0.132	1.032	0.022	0.149	1	1_Control
SM1-1	1	Control	SM1-1_Control	350	2	Treatment	SM-1	SM	0.116	0.97	0.006	0.087	1	1_Control
SM1-1	1	Control	SM1-1_Control	350	3	Treatment	SM-1	SM	0.118	0.961	0.008	0.078	1	1_Control
SM1-2	1	Control	SM1-2_Control	350	1	Treatment	SM-1	SM	0.106	0.852	-0.004	-0.031	2	1_Control
SM1-2	1	Control	SM1-2_Control	350	2	Treatment	SM-1	SM	0.117	0.975	0.007	0.092	2	1_Control
SM1-2	1	Control	SM1-2_Control	350	3	Treatment	SM-1	SM	0.135	1.136	0.025	0.253	2	1_Control
SM1-3	1	Control	SM1-3_Control	350	1	Treatment	SM-1	SM	0.079	0.707	-0.031	-0.176	3	1_Control
SM1-3	1	Control	SM1-3_Control	350	2	Treatment	SM-1	SM	0.093	0.78	-0.017	-0.103	3	1_Control
SM1-3	1	Control	SM1-3_Control	350	3	Treatment	SM-1	SM	0.101	0.816	-0.009	-0.067	3	1_Control
SM1-4	1	Control	SM1-4_Control	350	1	Treatment	SM-1	SM	0.103	0.804	-0.007	-0.079	4	1_Control
SM1-4	1	Control	SM1-4_Control	350	2	Treatment	SM-1	SM	0.101	0.79	-0.009	-0.093	4	1_Control
SM1-4	1	Control	SM1-4_Control	350	3	Treatment	SM-1	SM	0.136	1.124	0.026	0.241	4	1_Control
SM1-1	1	Treatment	SM1-1_Treatment	350	1	Treatment	SM-1	SM	0.131	1.118	0.021	0.235	1	1_Treatment
SM1-1	1	Treatment	SM1-1_Treatment	350	2	Treatment	SM-1	SM	0.121	1.145	0.011	0.262	1	1_Treatment
SM1-1	1	Treatment	SM1-1_Treatment	350	3	Treatment	SM-1	SM	0.118	1.108	0.008	0.225	1	1_Treatment
SM1-2	1	Treatment	SM1-2_Treatment	350	1	Treatment	SM-1	SM	0.115	1.042	0.005	0.159	2	1_Treatment
SM1-2	1	Treatment	SM1-2_Treatment	350	2	Treatment	SM-1	SM	0.119	1.188	0.009	0.305	2	1_Treatment
SM1-2	1	Treatment	SM1-2_Treatment	350	3	Treatment	SM-1	SM	0.121	1.123	0.011	0.24	2	1_Treatment
SM1-3	1	Treatment	SM1-3_Treatment	350	1	Treatment	SM-1	SM	0.115	1.016	0.005	0.133	3	1_Treatment
SM1-3	1	Treatment	SM1-3_Treatment	350	2	Treatment	SM-1	SM	0.099	0.835	-0.011	-0.048	3	1_Treatment
SM1-3	1	Treatment	SM1-3_Treatment	350	3	Treatment	SM-1	SM	0.105	0.946	-0.005	0.063	3	1_Treatment
SM1-4	1	Treatment	SM1-4_Treatment	350	1	Treatment	SM-1	SM	0.12	1.22	0.01	0.337	4	1_Treatment
SM1-4	1	Treatment	SM1-4_Treatment	350	2	Treatment	SM-1	SM	0.122	0.951	0.012	0.068	4	1_Treatment
SM1-4	1	Treatment	SM1-4_Treatment	350	3	Treatment	SM-1	SM	0.124	1.228	0.014	0.345	4	1_Treatment
SA2	2	Ancestral	SA2_Ancestral	0	1	Control	SA-2	SA	0.126	1.269	-0.007	0.051	Ancestral	2_Ancestral
SA2	2	Ancestral	SA2_Ancestral	0	2	Control	SA-2	SA	0.143	1.182	0.01	-0.036	Ancestral	2_Ancestral
SA2	2	Ancestral	SA2_Ancestral	0	3	Control	SA-2	SA	0.131	1.204	-0.002	-0.014	Ancestral	2_Ancestral
SA2-1	2	Control	SA2-1_Control	250	1	Control	SA-2	SA	0.14	1.213	0.007	-0.005	1	2_Control
SA2-1	2	Control	SA2-1_Control	250	2	Control	SA-2	SA	0.134	1.058	0.001	-0.16	1	2_Control
SA2-1	2	Control	SA2-1_Control	250	3	Control	SA-2	SA	0.134	1.098	0.001	-0.121	1	2_Control
SA2-2	2	Control	SA2-2_Control	250	1	Control	SA-2	SA	0.125	1.136	-0.008	-0.083	2	2_Control
SA2-2	2	Control	SA2-2_Control	250	2	Control	SA-2	SA	0.126	1.195	-0.007	-0.023	2	2_Control
SA2-2	2	Control	SA2-2_Control	250	3	Control	SA-2	SA	0.129	1.13	-0.004	-0.088	2	2_Control
SA2-3	2	Control	SA2-3_Control	250	1	Control	SA-2	SA	0.131	1.146	-0.002	-0.072	3	2_Control
SA2-3	2	Control	SA2-3_Control	250	2	Control	SA-2	SA	0.131	1.15	-0.002	-0.068	3	2_Control
SA2-3	2	Control	SA2-3_Control	250	3	Control	SA-2	SA	0.127	1.077	-0.006	-0.142	3	2_Control
SA2-4	2	Control	SA2-4_Control	250	1	Control	SA-2	SA	0.12	1.042	-0.013	-0.176	4	2_Control
SA2-4	2	Control	SA2-4_Control	250	2	Control	SA-2	SA	0.126	1.034	-0.007	-0.184	4	2_Control
