Strain	Condition	Individual	Replicate	Highlight.1	Rate	OD	Temperature	Specie	Strain2	Line
SE2-4	Control	I2	1	SE2-4_Control_I2	0	0.000	34	SE	SE2	4
SE2-4	Control	I2	2	SE2-4_Control_I2	0	0.000	34	SE	SE2	4
SE2-4	Control	I2	3	SE2-4_Control_I2	0	0.000	34	SE	SE2	4
SE2-1	Control	I3	1	SE2-1_Control_I3	0	0.000	34	SE	SE2	1
SE2-1	Control	I3	2	SE2-1_Control_I3	0	0.000	34	SE	SE2	1
SE2-1	Control	I3	3	SE2-1_Control_I3	0	0.000	34	SE	SE2	1
SE2-2	Control	I3	1	SE2-2_Control_I3	0	0.000	34	SE	SE2	2
SE2-2	Control	I3	2	SE2-2_Control_I3	0	0.000	34	SE	SE2	2
SE2-2	Control	I3	3	SE2-2_Control_I3	0	0.000	34	SE	SE2	2
SE2-3	Control	I3	1	SE2-3_Control_I3	0	0.000	34	SE	SE2	3
SE2-3	Control	I3	2	SE2-3_Control_I3	0	0.000	34	SE	SE2	3
SE2-3	Control	I3	3	SE2-3_Control_I3	0	0.000	34	SE	SE2	3
SE2-4	Control	I3	1	SE2-4_Control_I3	0	0.000	34	SE	SE2	4
SE2-4	Control	I3	2	SE2-4_Control_I3	0	0.000	34	SE	SE2	4
SE2-4	Control	I3	3	SE2-4_Control_I3	0	0.000	34	SE	SE2	4
SE2-1	Treatment	I1	1	SE2-1_Treatment_I1	0	0.000	34	SE	SE2	1
SE2-1	Treatment	I1	2	SE2-1_Treatment_I1	0	0.000	34	SE	SE2	1
SE2-1	Treatment	I1	3	SE2-1_Treatment_I1	0	0.000	34	SE	SE2	1
SE2-2	Treatment	I1	1	SE2-2_Treatment_I1	0	0.000	34	SE	SE2	2
SE2-2	Treatment	I1	2	SE2-2_Treatment_I1	0	0.000	34	SE	SE2	2
SE2-2	Treatment	I1	3	SE2-2_Treatment_I1	0	0.000	34	SE	SE2	2
SE2-3	Treatment	I1	1	SE2-3_Treatment_I1	0	0.000	34	SE	SE2	3
SE2-3	Treatment	I1	2	SE2-3_Treatment_I1	0	0.000	34	SE	SE2	3
SE2-3	Treatment	I1	3	SE2-3_Treatment_I1	0	0.000	34	SE	SE2	3
SE2-4	Treatment	I1	1	SE2-4_Treatment_I1	0	0.000	34	SE	SE2	4
SE2-4	Treatment	I1	2	SE2-4_Treatment_I1	0	0.000	34	SE	SE2	4
SE2-4	Treatment	I1	3	SE2-4_Treatment_I1	0	0.000	34	SE	SE2	4
SE2-1	Treatment	I2	1	SE2-1_Treatment_I2	0	0.000	34	SE	SE2	1
SE2-1	Treatment	I2	2	SE2-1_Treatment_I2	0	0.000	34	SE	SE2	1
SE2-1	Treatment	I2	3	SE2-1_Treatment_I2	0	0.000	34	SE	SE2	1
SE2-2	Treatment	I2	1	SE2-2_Treatment_I2	0	0.000	34	SE	SE2	2
SE2-2	Treatment	I2	2	SE2-2_Treatment_I2	0	0.000	34	SE	SE2	2
SE2-2	Treatment	I2	3	SE2-2_Treatment_I2	0	0.000	34	SE	SE2	2
SE2-3	Treatment	I2	1	SE2-3_Treatment_I2	0	0.000	34	SE	SE2	3
SE2-3	Treatment	I2	2	SE2-3_Treatment_I2	0	0.000	34	SE	SE2	3
SE2-3	Treatment	I2	3	SE2-3_Treatment_I2	0	0.000	34	SE	SE2	3
SE2-4	Treatment	I2	1	SE2-4_Treatment_I2	0	0.000	34	SE	SE2	4
SE2-4	Treatment	I2	2	SE2-4_Treatment_I2	0	0.000	34	SE	SE2	4
SE2-4	Treatment	I2	3	SE2-4_Treatment_I2	0	0.000	34	SE	SE2	4
SE2-1	Treatment	I3	1	SE2-1_Treatment_I3	0	0.000	34	SE	SE2	1
SE2-1	Treatment	I3	2	SE2-1_Treatment_I3	0	0.000	34	SE	SE2	1
SE2-1	Treatment	I3	3	SE2-1_Treatment_I3	0	0.000	34	SE	SE2	1
SE2-2	Treatment	I3	1	SE2-2_Treatment_I3	0	0.000	34	SE	SE2	2
SE2-2	Treatment	I3	2	SE2-2_Treatment_I3	0	0.000	34	SE	SE2	2
SE2-2	Treatment	I3	3	SE2-2_Treatment_I3	0	0.000	34	SE	SE2	2
SE2-3	Treatment	I3	1	SE2-3_Treatment_I3	0	0.000	34	SE	SE2	3
SE2-3	Treatment	I3	2	SE2-3_Treatment_I3	0	0.000	34	SE	SE2	3
SE2-3	Treatment	I3	3	SE2-3_Treatment_I3	0	0.000	34	SE	SE2	3
SE2-4	Treatment	I3	1	SE2-4_Treatment_I3	0	0.000	34	SE	SE2	4
SE2-4	Treatment	I3	2	SE2-4_Treatment_I3	0	0.000	34	SE	SE2	4
SE2-4	Treatment	I3	3	SE2-4_Treatment_I3	0	0.000	34	SE	SE2	4
SE2	Ancestral	Ancestral	1	SE2_Ancestral	0	0.000	34	SE	SE2	Ancestral
SE2	Ancestral	Ancestral	2	SE2_Ancestral	0	0.000	34	SE	SE2	Ancestral
SE2	Ancestral	Ancestral	3	SE2_Ancestral	0	0.000	34	SE	SE2	Ancestral
SE2-1	Control	I1	1	SE2-1_Control_I1	0.179	1.221	16	SE	SE2	1
SE2-1	Control	I1	2	SE2-1_Control_I1	0.152	1.155	16	SE	SE2	1
SE2-1	Control	I1	3	SE2-1_Control_I1	0.125	1.374	16	SE	SE2	1
SE2-2	Control	I1	1	SE2-2_Control_I1	0.131	1.204	16	SE	SE2	2
SE2-2	Control	I1	2	SE2-2_Control_I1	0.129	1.110	16	SE	SE2	2
SE2-2	Control	I1	3	SE2-2_Control_I1	0.127	1.131	16	SE	SE2	2
SE2-3	Control	I1	1	SE2-3_Control_I1	0.123	1.327	16	SE	SE2	3
SE2-3	Control	I1	2	SE2-3_Control_I1	0.116	1.331	16	SE	SE2	3
SE2-3	Control	I1	3	SE2-3_Control_I1	0.122	1.223	16	SE	SE2	3
SE2-4	Control	I1	1	SE2-4_Control_I1	0.123	1.361	16	SE	SE2	4
SE2-4	Control	I1	2	SE2-4_Control_I1	0.127	1.290	16	SE	SE2	4
SE2-4	Control	I1	3	SE2-4_Control_I1	0.125	1.236	16	SE	SE2	4
SE2-1	Control	I2	1	SE2-1_Control_I2	0.193	1.199	16	SE	SE2	1
SE2-1	Control	I2	2	SE2-1_Control_I2	0.1595	1.157	16	SE	SE2	1
SE2-1	Control	I2	3	SE2-1_Control_I2	0.126	1.341	16	SE	SE2	1
SE2-2	Control	I2	1	SE2-2_Control_I2	0.124	1.309	16	SE	SE2	2
SE2-2	Control	I2	2	SE2-2_Control_I2	0.13	1.284	16	SE	SE2	2
SE2-2	Control	I2	3	SE2-2_Control_I2	0.118	1.267	16	SE	SE2	2
SE2-3	Control	I2	1	SE2-3_Control_I2	0.119	1.268	16	SE	SE2	3
SE2-3	Control	I2	2	SE2-3_Control_I2	0.121	1.214	16	SE	SE2	3
SE2-3	Control	I2	3	SE2-3_Control_I2	0.119	1.248	16	SE	SE2	3
SE2-4	Control	I2	1	SE2-4_Control_I2	0.122	1.349	16	SE	SE2	4
SE2-4	Control	I2	2	SE2-4_Control_I2	0.117	1.197	16	SE	SE2	4
SE2-4	Control	I2	3	SE2-4_Control_I2	0.12	1.256	16	SE	SE2	4
SE2-1	Control	I3	1	SE2-1_Control_I3	0.131	1.245	16	SE	SE2	1
SE2-1	Control	I3	2	SE2-1_Control_I3	0.137	1.111	16	SE	SE2	1
SE2-1	Control	I3	3	SE2-1_Control_I3	0.125	1.359	16	SE	SE2	1
SE2-2	Control	I3	1	SE2-2_Control_I3	0.132	1.304	16	SE	SE2	2
SE2-2	Control	I3	2	SE2-2_Control_I3	0.128	1.277	16	SE	SE2	2
SE2-2	Control	I3	3	SE2-2_Control_I3	0.135	1.407	16	SE	SE2	2
SE2-3	Control	I3	1	SE2-3_Control_I3	0.124	1.390	16	SE	SE2	3
SE2-3	Control	I3	2	SE2-3_Control_I3	0.127	1.299	16	SE	SE2	3
SE2-3	Control	I3	3	SE2-3_Control_I3	0.126	1.240	16	SE	SE2	3
SE2-4	Control	I3	1	SE2-4_Control_I3	0.121	1.352	16	SE	SE2	4
SE2-4	Control	I3	2	SE2-4_Control_I3	0.12	1.281	16	SE	SE2	4
SE2-4	Control	I3	3	SE2-4_Control_I3	0.12	1.218	16	SE	SE2	4
SE2-1	Treatment	I1	1	SE2-1_Treatment_I1	0.173	1.195	16	SE	SE2	1
SE2-1	Treatment	I1	2	SE2-1_Treatment_I1	0.177	1.060	16	SE	SE2	1
SE2-1	Treatment	I1	3	SE2-1_Treatment_I1	0.161	1.298	16	SE	SE2	1
SE2-2	Treatment	I1	1	SE2-2_Treatment_I1	0.0927	0.870	16	SE	SE2	2
SE2-2	Treatment	I1	2	SE2-2_Treatment_I1	0.0907	0.959	16	SE	SE2	2
SE2-2	Treatment	I1	3	SE2-2_Treatment_I1	0.0816	1.027	16	SE	SE2	2
SE2-3	Treatment	I1	1	SE2-3_Treatment_I1	0.124	1.354	16	SE	SE2	3
SE2-3	Treatment	I1	2	SE2-3_Treatment_I1	0.124	1.483	16	SE	SE2	3
SE2-3	Treatment	I1	3	SE2-3_Treatment_I1	0.11	1.276	16	SE	SE2	3
SE2-4	Treatment	I1	1	SE2-4_Treatment_I1	0.107	1.304	16	SE	SE2	4
SE2-4	Treatment	I1	2	SE2-4_Treatment_I1	0.133	1.279	16	SE	SE2	4
SE2-4	Treatment	I1	3	SE2-4_Treatment_I1	0.12	1.212	16	SE	SE2	4
SE2-1	Treatment	I2	1	SE2-1_Treatment_I2	0.115	1.177	16	SE	SE2	1
SE2-1	Treatment	I2	2	SE2-1_Treatment_I2	0.117	1.053	16	SE	SE2	1
SE2-1	Treatment	I2	3	SE2-1_Treatment_I2	0.12	1.299	16	SE	SE2	1
SE2-2	Treatment	I2	1	SE2-2_Treatment_I2	0.092	1.005	16	SE	SE2	2
SE2-2	Treatment	I2	2	SE2-2_Treatment_I2	0.0896	1.102	16	SE	SE2	2
SE2-2	Treatment	I2	3	SE2-2_Treatment_I2	0.0818	0.662	16	SE	SE2	2
SE2-3	Treatment	I2	1	SE2-3_Treatment_I2	0.1245	1.407	16	SE	SE2	3
SE2-3	Treatment	I2	2	SE2-3_Treatment_I2	0.137	1.407	16	SE	SE2	3
SE2-3	Treatment	I2	3	SE2-3_Treatment_I2	0.112	1.295	16	SE	SE2	3
SE2-4	Treatment	I2	1	SE2-4_Treatment_I2	0.135	1.219	16	SE	SE2	4
SE2-4	Treatment	I2	2	SE2-4_Treatment_I2	0.124	1.155	16	SE	SE2	4
SE2-4	Treatment	I2	3	SE2-4_Treatment_I2	0.129	1.149	16	SE	SE2	4
SE2-1	Treatment	I3	1	SE2-1_Treatment_I3	0.147	1.139	16	SE	SE2	1
SE2-1	Treatment	I3	2	SE2-1_Treatment_I3	0.1345	1.088	16	SE	SE2	1
SE2-1	Treatment	I3	3	SE2-1_Treatment_I3	0.122	1.303	16	SE	SE2	1
SE2-2	Treatment	I3	1	SE2-2_Treatment_I3	0.12	1.215	16	SE	SE2	2
SE2-2	Treatment	I3	2	SE2-2_Treatment_I3	0.125	1.145	16	SE	SE2	2
SE2-2	Treatment	I3	3	SE2-2_Treatment_I3	0.115	1.087	16	SE	SE2	2
SE2-3	Treatment	I3	1	SE2-3_Treatment_I3	0.111	1.371	16	SE	SE2	3
SE2-3	Treatment	I3	2	SE2-3_Treatment_I3	0.112	1.254	16	SE	SE2	3
SE2-3	Treatment	I3	3	SE2-3_Treatment_I3	0.101	1.319	16	SE	SE2	3
SE2-4	Treatment	I3	1	SE2-4_Treatment_I3	0.116	1.229	16	SE	SE2	4
SE2-4	Treatment	I3	2	SE2-4_Treatment_I3	0.109	1.218	16	SE	SE2	4
SE2-4	Treatment	I3	3	SE2-4_Treatment_I3	0.113	1.134	16	SE	SE2	4
SE2	Ancestral	Ancestral	1	SE2_Ancestral	0.194	1.184	16	SE	SE2	Ancestral
SE2	Ancestral	Ancestral	2	SE2_Ancestral	0.196	1.106	16	SE	SE2	Ancestral
SE2	Ancestral	Ancestral	3	SE2_Ancestral	0.184	1.062	16	SE	SE2	Ancestral
SE2-1	Control	I1	1	SE2-1_Control_I1	0.283	1.103	20	SE	SE2	1
SE2-1	Control	I1	2	SE2-1_Control_I1	0.259	1.091	20	SE	SE2	1
SE2-1	Control	I1	3	SE2-1_Control_I1	0.272	1.156	20	SE	SE2	1
SE2-2	Control	I1	1	SE2-2_Control_I1	0.272	1.184	20	SE	SE2	2
SE2-2	Control	I1	2	SE2-2_Control_I1	0.257	1.098	20	SE	SE2	2
SE2-2	Control	I1	3	SE2-2_Control_I1	0.26	1.276	20	SE	SE2	2
SE2-3	Control	I1	1	SE2-3_Control_I1	0.256	1.158	20	SE	SE2	3
SE2-3	Control	I1	2	SE2-3_Control_I1	0.256	1.268	20	SE	SE2	3
SE2-3	Control	I1	3	SE2-3_Control_I1	0.256	1.274	20	SE	SE2	3
SE2-4	Control	I1	1	SE2-4_Control_I1	0.274	1.177	20	SE	SE2	4
SE2-4	Control	I1	2	SE2-4_Control_I1	0.272	1.231	20	SE	SE2	4
SE2-4	Control	I1	3	SE2-4_Control_I1	0.27	1.158	20	SE	SE2	4
SE2-1	Control	I2	1	SE2-1_Control_I2	0.273	1.108	20	SE	SE2	1
SE2-1	Control	I2	2	SE2-1_Control_I2	0.275	1.134	20	SE	SE2	1
SE2-1	Control	I2	3	SE2-1_Control_I2	0.279	1.129	20	SE	SE2	1
SE2-2	Control	I2	1	SE2-2_Control_I2	0.291	1.157	20	SE	SE2	2
SE2-2	Control	I2	2	SE2-2_Control_I2	0.3	1.194	20	SE	SE2	2
SE2-2	Control	I2	3	SE2-2_Control_I2	0.284	1.233	20	SE	SE2	2
SE2-3	Control	I2	1	SE2-3_Control_I2	0.297	1.226	20	SE	SE2	3
SE2-3	Control	I2	2	SE2-3_Control_I2	0.308	1.159	20	SE	SE2	3
SE2-3	Control	I2	3	SE2-3_Control_I2	0.3	1.142	20	SE	SE2	3
SE2-4	Control	I2	1	SE2-4_Control_I2	0.303	1.258	20	SE	SE2	4
SE2-4	Control	I2	2	SE2-4_Control_I2	0.292	1.187	20	SE	SE2	4
SE2-4	Control	I2	3	SE2-4_Control_I2	0.282	1.202	20	SE	SE2	4
SE2-1	Control	I3	1	SE2-1_Control_I3	0.271	1.143	20	SE	SE2	1
SE2-1	Control	I3	2	SE2-1_Control_I3	0.262	1.132	20	SE	SE2	1
SE2-1	Control	I3	3	SE2-1_Control_I3	0.286	1.207	20	SE	SE2	1
SE2-2	Control	I3	1	SE2-2_Control_I3	0.273	1.223	20	SE	SE2	2
SE2-2	Control	I3	2	SE2-2_Control_I3	0.273	1.243	20	SE	SE2	2
SE2-2	Control	I3	3	SE2-2_Control_I3	0.262	1.263	20	SE	SE2	2
SE2-3	Control	I3	1	SE2-3_Control_I3	0.301	1.213	20	SE	SE2	3
SE2-3	Control	I3	2	SE2-3_Control_I3	0.28	1.306	20	SE	SE2	3
SE2-3	Control	I3	3	SE2-3_Control_I3	0.289	1.302	20	SE	SE2	3
SE2-4	Control	I3	1	SE2-4_Control_I3	0.28	1.259	20	SE	SE2	4
SE2-4	Control	I3	2	SE2-4_Control_I3	0.292	1.302	20	SE	SE2	4
SE2-4	Control	I3	3	SE2-4_Control_I3	0.27	1.188	20	SE	SE2	4
SE2-1	Treatment	I1	1	SE2-1_Treatment_I1	0.224	1.063	20	SE	SE2	1
SE2-1	Treatment	I1	2	SE2-1_Treatment_I1	0.254	0.812	20	SE	SE2	1
SE2-1	Treatment	I1	3	SE2-1_Treatment_I1	0.239	0.982	20	SE	SE2	1
SE2-2	Treatment	I1	1	SE2-2_Treatment_I1	0.169	1.058	20	SE	SE2	2
SE2-2	Treatment	I1	2	SE2-2_Treatment_I1	0.172	1.065	20	SE	SE2	2
SE2-2	Treatment	I1	3	SE2-2_Treatment_I1	0.165	0.896	20	SE	SE2	2
SE2-3	Treatment	I1	1	SE2-3_Treatment_I1	0.22	1.138	20	SE	SE2	3
SE2-3	Treatment	I1	2	SE2-3_Treatment_I1	0.221	1.366	20	SE	SE2	3
SE2-3	Treatment	I1	3	SE2-3_Treatment_I1	0.223	1.371	20	SE	SE2	3
SE2-4	Treatment	I1	1	SE2-4_Treatment_I1	0.167	0.910	20	SE	SE2	4
SE2-4	Treatment	I1	2	SE2-4_Treatment_I1	0.168	1.137	20	SE	SE2	4
SE2-4	Treatment	I1	3	SE2-4_Treatment_I1	0.166	0.918	20	SE	SE2	4
SE2-1	Treatment	I2	1	SE2-1_Treatment_I2	0.223	1.102	20	SE	SE2	1
SE2-1	Treatment	I2	2	SE2-1_Treatment_I2	0.261	0.875	20	SE	SE2	1
SE2-1	Treatment	I2	3	SE2-1_Treatment_I2	0.221	1.022	20	SE	SE2	1
SE2-2	Treatment	I2	1	SE2-2_Treatment_I2	0.188	1.072	20	SE	SE2	2
SE2-2	Treatment	I2	2	SE2-2_Treatment_I2	0.176	1.152	20	SE	SE2	2
SE2-2	Treatment	I2	3	SE2-2_Treatment_I2	0.183	0.756	20	SE	SE2	2
SE2-3	Treatment	I2	1	SE2-3_Treatment_I2	0.253	1.292	20	SE	SE2	3
SE2-3	Treatment	I2	2	SE2-3_Treatment_I2	0.243	1.341	20	SE	SE2	3
SE2-3	Treatment	I2	3	SE2-3_Treatment_I2	0.283	1.365	20	SE	SE2	3
SE2-4	Treatment	I2	1	SE2-4_Treatment_I2	0.192	1.113	20	SE	SE2	4
SE2-4	Treatment	I2	2	SE2-4_Treatment_I2	0.211	1.057	20	SE	SE2	4
SE2-4	Treatment	I2	3	SE2-4_Treatment_I2	0.21	1.072	20	SE	SE2	4
SE2-1	Treatment	I3	1	SE2-1_Treatment_I3	0.282	1.083	20	SE	SE2	1
SE2-1	Treatment	I3	2	SE2-1_Treatment_I3	0.286	0.883	20	SE	SE2	1
SE2-1	Treatment	I3	3	SE2-1_Treatment_I3	0.29	1.100	20	SE	SE2	1
SE2-2	Treatment	I3	1	SE2-2_Treatment_I3	0.194	1.147	20	SE	SE2	2
SE2-2	Treatment	I3	2	SE2-2_Treatment_I3	0.195	1.194	20	SE	SE2	2
SE2-2	Treatment	I3	3	SE2-2_Treatment_I3	0.193	1.125	20	SE	SE2	2
SE2-3	Treatment	I3	1	SE2-3_Treatment_I3	0.244	1.316	20	SE	SE2	3
SE2-3	Treatment	I3	2	SE2-3_Treatment_I3	0.283	1.380	20	SE	SE2	3
SE2-3	Treatment	I3	3	SE2-3_Treatment_I3	0.271	1.372	20	SE	SE2	3
SE2-4	Treatment	I3	1	SE2-4_Treatment_I3	0.168	1.118	20	SE	SE2	4
SE2-4	Treatment	I3	2	SE2-4_Treatment_I3	0.172	1.090	20	SE	SE2	4
SE2-4	Treatment	I3	3	SE2-4_Treatment_I3	0.163	1.087	20	SE	SE2	4
SE2	Ancestral	Ancestral	1	SE2_Ancestral	0.283	1.180	20	SE	SE2	Ancestral
SE2	Ancestral	Ancestral	2	SE2_Ancestral	0.261	1.237	20	SE	SE2	Ancestral
SE2	Ancestral	Ancestral	3	SE2_Ancestral	0.28	1.199	20	SE	SE2	Ancestral
SU2-1	Control	I1	1	SU2-1_Control_I1	0.401	1.243	25	SU	SU2	1
SU2-1	Control	I1	2	SU2-1_Control_I1	0.393	1.112	25	SU	SU2	1
SU2-1	Control	I1	3	SU2-1_Control_I1	0.384	1.114	25	SU	SU2	1
SU2-2	Control	I1	1	SU2-2_Control_I1	0.409	1.002	25	SU	SU2	2
SU2-2	Control	I1	2	SU2-2_Control_I1	0.381	1.046	25	SU	SU2	2
SU2-2	Control	I1	3	SU2-2_Control_I1	0.407	1.018	25	SU	SU2	2
SU2-3	Control	I1	1	SU2-3_Control_I1	0.413	0.911	25	SU	SU2	3
SU2-3	Control	I1	2	SU2-3_Control_I1	0.441	1.030	25	SU	SU2	3
SU2-3	Control	I1	3	SU2-3_Control_I1	0.415	0.992	25	SU	SU2	3
SU2-4	Control	I1	1	SU2-4_Control_I1	0.391	1.080	25	SU	SU2	4
SU2-4	Control	I1	2	SU2-4_Control_I1	0.401	1.047	25	SU	SU2	4
SU2-4	Control	I1	3	SU2-4_Control_I1	0.394	1.116	25	SU	SU2	4
SU2-1	Control	I2	1	SU2-1_Control_I2	0.405	1.244	25	SU	SU2	1
SU2-1	Control	I2	2	SU2-1_Control_I2	0.404	1.066	25	SU	SU2	1
SU2-1	Control	I2	3	SU2-1_Control_I2	0.407	1.057	25	SU	SU2	1
SU2-2	Control	I2	1	SU2-2_Control_I2	0.379	1.009	25	SU	SU2	2
SU2-2	Control	I2	2	SU2-2_Control_I2	0.355	1.088	25	SU	SU2	2
SU2-2	Control	I2	3	SU2-2_Control_I2	0.394	1.071	25	SU	SU2	2
SU2-3	Control	I2	1	SU2-3_Control_I2	0.393	1.031	25	SU	SU2	3
SU2-3	Control	I2	2	SU2-3_Control_I2	0.414	1.098	25	SU	SU2	3
SU2-3	Control	I2	3	SU2-3_Control_I2	0.399	1.032	25	SU	SU2	3
SU2-4	Control	I2	1	SU2-4_Control_I2	0.392	1.121	25	SU	SU2	4
SU2-4	Control	I2	2	SU2-4_Control_I2	0.4	1.077	25	SU	SU2	4
SU2-4	Control	I2	3	SU2-4_Control_I2	0.41	1.119	25	SU	SU2	4
SU2-1	Control	I3	1	SU2-1_Control_I3	0.397	1.193	25	SU	SU2	1
SU2-1	Control	I3	2	SU2-1_Control_I3	0.386	1.140	25	SU	SU2	1
SU2-1	Control	I3	3	SU2-1_Control_I3	0.397	1.171	25	SU	SU2	1
SU2-2	Control	I3	1	SU2-2_Control_I3	0.418	0.991	25	SU	SU2	2
SU2-2	Control	I3	2	SU2-2_Control_I3	0.405	1.085	25	SU	SU2	2
SU2-2	Control	I3	3	SU2-2_Control_I3	0.392	1.122	25	SU	SU2	2
SU2-3	Control	I3	1	SU2-3_Control_I3	0.385	1.049	25	SU	SU2	3
SU2-3	Control	I3	2	SU2-3_Control_I3	0.369	1.051	25	SU	SU2	3
SU2-3	Control	I3	3	SU2-3_Control_I3	0.396	1.031	25	SU	SU2	3
SU2-4	Control	I3	1	SU2-4_Control_I3	0.355	1.161	25	SU	SU2	4
SU2-4	Control	I3	2	SU2-4_Control_I3	0.361	1.123	25	SU	SU2	4
SU2-4	Control	I3	3	SU2-4_Control_I3	0.355	1.176	25	SU	SU2	4
SU2-1	Treatment	I1	1	SU2-1_Treatment_I1	0.319	1.267	25	SU	SU2	1
SU2-1	Treatment	I1	2	SU2-1_Treatment_I1	0.317	1.138	25	SU	SU2	1
SU2-1	Treatment	I1	3	SU2-1_Treatment_I1	0.312	1.117	25	SU	SU2	1
SU2-2	Treatment	I1	1	SU2-2_Treatment_I1	0.334	1.062	25	SU	SU2	2
SU2-2	Treatment	I1	2	SU2-2_Treatment_I1	0.306	1.168	25	SU	SU2	2
SU2-2	Treatment	I1	3	SU2-2_Treatment_I1	0.314	1.102	25	SU	SU2	2
SU2-3	Treatment	I1	1	SU2-3_Treatment_I1	0.299	1.154	25	SU	SU2	3
SU2-3	Treatment	I1	2	SU2-3_Treatment_I1	0.283	1.123	25	SU	SU2	3
SU2-3	Treatment	I1	3	SU2-3_Treatment_I1	0.273	1.143	25	SU	SU2	3
SU2-4	Treatment	I1	1	SU2-4_Treatment_I1	0.303	1.083	25	SU	SU2	4
SU2-4	Treatment	I1	2	SU2-4_Treatment_I1	0.303	1.030	25	SU	SU2	4
SU2-4	Treatment	I1	3	SU2-4_Treatment_I1	0.294	1.110	25	SU	SU2	4
SU2-1	Treatment	I2	1	SU2-1_Treatment_I2	0.308	1.307	25	SU	SU2	1
SU2-1	Treatment	I2	2	SU2-1_Treatment_I2	0.303	1.129	25	SU	SU2	1
SU2-1	Treatment	I2	3	SU2-1_Treatment_I2	0.291	1.114	25	SU	SU2	1
SU2-2	Treatment	I2	1	SU2-2_Treatment_I2	0.319	0.986	25	SU	SU2	2
SU2-2	Treatment	I2	2	SU2-2_Treatment_I2	0.294	1.094	25	SU	SU2	2
SU2-2	Treatment	I2	3	SU2-2_Treatment_I2	0.306	1.052	25	SU	SU2	2
SU2-3	Treatment	I2	1	SU2-3_Treatment_I2	0.297	1.090	25	SU	SU2	3
SU2-3	Treatment	I2	2	SU2-3_Treatment_I2	0.269	1.251	25	SU	SU2	3
SU2-3	Treatment	I2	3	SU2-3_Treatment_I2	0.283	1.147	25	SU	SU2	3
SU2-4	Treatment	I2	1	SU2-4_Treatment_I2	0.315	1.039	25	SU	SU2	4
SU2-4	Treatment	I2	2	SU2-4_Treatment_I2	0.312	1.045	25	SU	SU2	4
SU2-4	Treatment	I2	3	SU2-4_Treatment_I2	0.31	1.132	25	SU	SU2	4
SU2-1	Treatment	I3	1	SU2-1_Treatment_I3	0.271	1.145	25	SU	SU2	1
SU2-1	Treatment	I3	2	SU2-1_Treatment_I3	0.288	1.036	25	SU	SU2	1
SU2-1	Treatment	I3	3	SU2-1_Treatment_I3	0.296	1.056	25	SU	SU2	1
SU2-2	Treatment	I3	1	SU2-2_Treatment_I3	0.335	1.005	25	SU	SU2	2
SU2-2	Treatment	I3	2	SU2-2_Treatment_I3	0.308	1.102	25	SU	SU2	2
SU2-2	Treatment	I3	3	SU2-2_Treatment_I3	0.324	1.129	25	SU	SU2	2
SU2-3	Treatment	I3	1	SU2-3_Treatment_I3	0.309	1.183	25	SU	SU2	3
SU2-3	Treatment	I3	2	SU2-3_Treatment_I3	0.334	1.135	25	SU	SU2	3
SU2-3	Treatment	I3	3	SU2-3_Treatment_I3	0.323	1.060	25	SU	SU2	3
SU2-4	Treatment	I3	1	SU2-4_Treatment_I3	0.325	1.129	25	SU	SU2	4
SU2-4	Treatment	I3	2	SU2-4_Treatment_I3	0.321	1.088	25	SU	SU2	4
SU2-4	Treatment	I3	3	SU2-4_Treatment_I3	0.303	1.053	25	SU	SU2	4
SU2	Ancestral	Ancestral	1	SU2_Ancestral	0.408	1.132	25	SU	SU2	Ancestral
SU2	Ancestral	Ancestral	2	SU2_Ancestral	0.363	1.214	25	SU	SU2	Ancestral
SU2	Ancestral	Ancestral	3	SU2_Ancestral	0.405	1.287	25	SU	SU2	Ancestral
SU2-1	Control	I1	1	SU2-1_Control_I1	0.456	1.127	28	SU	SU2	1
SU2-1	Control	I1	2	SU2-1_Control_I1	0.472	1.119	28	SU	SU2	1
SU2-1	Control	I1	3	SU2-1_Control_I1	0.476	1.088	28	SU	SU2	1
SU2-2	Control	I1	1	SU2-2_Control_I1	0.468	1.025	28	SU	SU2	2
SU2-2	Control	I1	2	SU2-2_Control_I1	0.442	1.006	28	SU	SU2	2
SU2-2	Control	I1	3	SU2-2_Control_I1	0.468	1.087	28	SU	SU2	2
SU2-3	Control	I1	1	SU2-3_Control_I1	0.448	1.021	28	SU	SU2	3
SU2-3	Control	I1	2	SU2-3_Control_I1	0.428	1.035	28	SU	SU2	3
SU2-3	Control	I1	3	SU2-3_Control_I1	0.427	1.039	28	SU	SU2	3
SU2-4	Control	I1	1	SU2-4_Control_I1	0.415	1.042	28	SU	SU2	4
SU2-4	Control	I1	2	SU2-4_Control_I1	0.421	1.095	28	SU	SU2	4
SU2-4	Control	I1	3	SU2-4_Control_I1	0.431	1.174	28	SU	SU2	4
SU2-1	Control	I2	1	SU2-1_Control_I2	0.452	1.045	28	SU	SU2	1
SU2-1	Control	I2	2	SU2-1_Control_I2	0.448	1.045	28	SU	SU2	1
SU2-1	Control	I2	3	SU2-1_Control_I2	0.474	1.085	28	SU	SU2	1
SU2-2	Control	I2	1	SU2-2_Control_I2	0.433	1.096	28	SU	SU2	2
SU2-2	Control	I2	2	SU2-2_Control_I2	0.412	1.137	28	SU	SU2	2
SU2-2	Control	I2	3	SU2-2_Control_I2	0.471	1.077	28	SU	SU2	2
